active,item_id,name,brand,category,price,original_price,discount,badge,specs,keywords,variants,link_shopee,in_stock,updated_at
TRUE,27492729899,Combo 2 túi Nước giặt Pano Warmish 1.8kg hương táo dứa hoa nhài sạch sâu vết bẩn tặng nước rửa chén 400g,PANO,Nước giặt,147582,238035,38%,NEW_ARRIVAL,Combo 2 túi Nước giặt Pano Warmish 1.8kg hương táo dứa hoa nhài sạch sâu vết bẩn tặng nước rửa chén 400g,1.8kg; moi nhat; moi ra; nước giặt; pano; warmish,PANO,https://shopee.vn/Combo-2-t%C3%BAi-N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-Pano-Warmish-1.8kg-h%C6%B0%C6%A1ng-t%C3%A1o-d%E1%BB%A9a-hoa-nh%C3%A0i-s%E1%BA%A1ch-s%C3%A2u-v%E1%BA%BFt-b%E1%BA%A9n-t%E1%BA%B7ng-n%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-ch%C3%A9n-400g-i.20523065.27492729899,TRUE,2026-08-18
TRUE,40473414417,Nước giặt Pano Elegant 2 túi 1.8kg tặng nước rửa chén 200g hương nước hoa Pháp giặt tay giặt máy sạch sâu thơm lâu,PANO,Nước giặt,147582,238035,38%,NEW_ARRIVAL,Nước giặt Pano Elegant 2 túi 1.8kg tặng nước rửa chén 200g hương nước hoa Pháp giặt tay giặt máy sạch sâu thơm lâu,1.8kg; elegant; moi nhat; moi ra; nước giặt; pano,PANO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-Pano-Elegant-2-t%C3%BAi-1.8kg-t%E1%BA%B7ng-n%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-ch%C3%A9n-200g-h%C6%B0%C6%A1ng-n%C6%B0%E1%BB%9Bc-hoa-Ph%C3%A1p-gi%E1%BA%B7t-tay-gi%E1%BA%B7t-m%C3%A1y-s%E1%BA%A1ch-s%C3%A2u-th%C6%A1m-l%C3%A2u-i.20523065.40473414417,TRUE,2026-08-18
TRUE,56612838999,Nước xả vải Nano Clean ZeO Hương hoa trắng xạ hương Mềm vải giảm nhăn thơm lâu Can 1kg 3.8kg,ZeO,Nước xả vải,83200,128000,35%,STANDARD,Nước xả vải Nano Clean ZeO Hương hoa trắng xạ hương Mềm vải giảm nhăn thơm lâu Can 1kg 3.8kg,nano clean; nước xả vải; zeo,ZeO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-x%E1%BA%A3-v%E1%BA%A3i-Nano-Clean-ZeO-H%C6%B0%C6%A1ng-hoa-tr%E1%BA%AFng-x%E1%BA%A1-h%C6%B0%C6%A1ng-M%E1%BB%81m-v%E1%BA%A3i-gi%E1%BA%A3m-nh%C4%83n-th%C6%A1m-l%C3%A2u-Can-1kg-3.8kg-i.20523065.56612838999,TRUE,2026-08-18
TRUE,20119331885,Nước lau sàn ZeO Hương Ylang Ylang bạc hà Sạch bóng sàn khử mùi Can 1kg 3.8kg,ZeO,Nước lau sàn,33150,44200,25%,STANDARD,Nước lau sàn ZeO Hương Ylang Ylang bạc hà Sạch bóng sàn khử mùi Can 1kg 3.8kg,nước lau sàn; zeo,ZeO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-lau-s%C3%A0n-ZeO-H%C6%B0%C6%A1ng-Ylang-Ylang-b%E1%BA%A1c-h%C3%A0-S%E1%BA%A1ch-b%C3%B3ng-s%C3%A0n-kh%E1%BB%AD-m%C3%B9i-Can-1kg-3.8kg-i.20523065.20119331885,TRUE,2026-08-18
TRUE,17179798845,Chai xịt tẩy rửa đa năng Pano Hương trà xanh Đánh bay dầu mỡ vết bẩn đa bề mặt Chai 500ml,PANO,Tẩy rửa đa năng,46620,74000,37%,STANDARD,Chai xịt tẩy rửa đa năng Pano Hương trà xanh Đánh bay dầu mỡ vết bẩn đa bề mặt Chai 500ml,pano; tẩy rửa đa năng,PANO,https://shopee.vn/Chai-x%E1%BB%8Bt-t%E1%BA%A9y-r%E1%BB%ADa-%C4%91a-n%C4%83ng-Pano-H%C6%B0%C6%A1ng-tr%C3%A0-xanh-%C4%90%C3%A1nh-bay-d%E1%BA%A7u-m%E1%BB%A1-v%E1%BA%BFt-b%E1%BA%A9n-%C4%91a-b%E1%BB%81-m%E1%BA%B7t-Chai-500ml-i.20523065.17179798845,TRUE,2026-08-18
TRUE,18919306037,Nước rửa chén Enzyme ZeO Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay Can 400g 800g 1.5kg,ZeO,Nước rửa chén,16900,26000,35%,STANDARD,Nước rửa chén Enzyme ZeO Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay Can 400g 800g 1.5kg,nước rửa chén; zeo,ZeO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-ch%C3%A9n-Enzyme-ZeO-H%C6%B0%C6%A1ng-chanh-t%E1%BB%B1-nhi%C3%AAn-S%E1%BA%A1ch-d%E1%BA%A7u-m%E1%BB%A1-kh%E1%BB%AD-m%C3%B9i-tanh-d%E1%BB%8Bu-da-tay-Can-400g-800g-1.5kg-i.20523065.18919306037,TRUE,2026-08-18
TRUE,19325680023,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch vết bẩn mềm vải lưu hương kép Túi 2.4kg,Oplus,Nước giặt,91257,172183,47%,STANDARD,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch vết bẩn mềm vải lưu hương kép Túi 2.4kg,2in1; nước giặt; oplus,Oplus,https://shopee.vn/N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-2in1-Oplus-H%C6%B0%C6%A1ng-n%C6%B0%E1%BB%9Bc-hoa-Ph%C3%A1p-S%E1%BA%A1ch-v%E1%BA%BFt-b%E1%BA%A9n-m%E1%BB%81m-v%E1%BA%A3i-l%C6%B0u-h%C6%B0%C6%A1ng-k%C3%A9p-T%C3%BAi-2.4kg-i.20523065.19325680023,TRUE,2026-08-18
TRUE,19419299602,Nước giặt Pano Hương nước hoa Pháp Sạch vết bẩn khử mùi lưu hương lâu Can 3.6kg,PANO,Nước giặt,131100,234107,44%,STANDARD,Nước giặt Pano Hương nước hoa Pháp Sạch vết bẩn khử mùi lưu hương lâu Can 3.6kg,can 3.6kg; nước giặt; pano,PANO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-Pano-H%C6%B0%C6%A1ng-n%C6%B0%E1%BB%9Bc-hoa-Ph%C3%A1p-S%E1%BA%A1ch-v%E1%BA%BFt-b%E1%BA%A9n-kh%E1%BB%AD-m%C3%B9i-l%C6%B0u-h%C6%B0%C6%A1ng-l%C3%A2u-Can-3.6kg-i.20523065.19419299602,TRUE,2026-08-18
TRUE,55813079469,Bột giặt ZeO Bọt Biển Hương táo dứa hoa nhài Sạch vết bẩn lưu hương kép Túi 720g 2.7kg,ZeO,Bột giặt,35100,54000,35%,STANDARD,Bột giặt ZeO Bọt Biển Hương táo dứa hoa nhài Sạch vết bẩn lưu hương kép Túi 720g 2.7kg,bột giặt; zeo,ZeO,https://shopee.vn/B%E1%BB%99t-gi%E1%BA%B7t-ZeO-B%E1%BB%8Dt-Bi%E1%BB%83n-H%C6%B0%C6%A1ng-t%C3%A1o-d%E1%BB%A9a-hoa-nh%C3%A0i-S%E1%BA%A1ch-v%E1%BA%BFt-b%E1%BA%A9n-l%C6%B0u-h%C6%B0%C6%A1ng-k%C3%A9p-T%C3%BAi-720g-2.7kg-i.20523065.55813079469,TRUE,2026-08-18
TRUE,43251767103,Nước rửa chén Oplus Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay Bao bì nhiều lựa chọn,Oplus,Nước rửa chén,14300,22000,35%,STANDARD,Nước rửa chén Oplus Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay Bao bì nhiều lựa chọn,nước rửa chén; oplus,Oplus,https://shopee.vn/N%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-ch%C3%A9n-Oplus-H%C6%B0%C6%A1ng-chanh-t%E1%BB%B1-nhi%C3%AAn-S%E1%BA%A1ch-d%E1%BA%A7u-m%E1%BB%A1-kh%E1%BB%AD-m%C3%B9i-tanh-d%E1%BB%8Bu-da-tay-Bao-b%C3%AC-nhi%E1%BB%81u-l%E1%BB%B1a-ch%E1%BB%8Dn-i.20523065.43251767103,TRUE,2026-08-18
